	SENTENCE	CONDITION	MODAL VERB	SYSTEM_NAME	ACTOR	OBJECT + COMPLEMENT	VERB
0	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die für ein Sicherungsprojekt vorzulegenden Nachweis-Items anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die für ein Sicherungsprojekt vorzulegenden Nachweis-Items	anzugeben
1	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items	anzugeben
2	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, ein vorhandenes Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt auszuwählen.		muss	Die OPENCOSS-Plattform	Nutzer	ein vorhandenes Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt	auszuwählen
3	Die OPENCOSS-Plattform muss die Merkmale der Nachweis-Items eines Sicherungsprojekts gemäß der CCL speichern.		muss	Die OPENCOSS-Plattform		die Merkmale der Nachweis-Items eines Sicherungsprojekts gemäß der CCL	speichern
4	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisart für das gegebene Nachweis-Item eines Sicherungsprojekts anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die Nachweisart für das gegebene Nachweis-Item eines Sicherungsprojekts	anzugeben
5	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisarten, die bereits in anderen Pojekten definiert wurden, in Sicherungsprojekten wiederzuverwenden.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisarten, die bereits in anderen Pojekten definiert wurden, in Sicherungsprojekten	wiederzuverwenden
6	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, das Artefakt, mit dem die Nachweis-Items eines Sicherungsprojekts verbunden sind, anzugeben		muss	Die OPENCOSS-Plattform	Nutzer	das Artefakt, mit dem die Nachweis-Items eines Sicherungsprojekts verbunden sind	anzugeben
7	Die OPENCOSS-Plattform muss die CCL-Informationen des Artefakts, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, speichern.		muss	Die OPENCOSS-Plattform		die CCL-Informationen des Artefakts, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist	speichern
8	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Informationen über das Artefakt, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, zu ändern.		muss	Die OPENCOSS-Plattform	Nutzer	die Informationen über das Artefakt, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist	ändern
9	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts mit einem Artefakt, das in einem anderen Projekt verwendet wurde, zu verknüpfen.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items eines Sicherungsprojekts mit einem Artefakt, das in einem anderen Projekt verwendet wurde	verknüpfen
10	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts zu löschen.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items eines Sicherungsprojekts	löschen
11	Wenn ein Nutzer ein Nachweis-Item aus einem Sicherungsprojekt löschen möchte, muss die OPENCOSS-Plattform vom Nutzer eine Bestätigung für diese Aktion und die nachfolgenden damit verbundenen Aktionen anfordern.	Wenn ein Nutzer ein Nachweis-Item aus einem Sicherungsprojekt löschen möchte	muss	die OPENCOSS-Plattform		vom Nutzer eine Bestätigung für diese Aktion und die nachfolgenden damit verbundenen Aktionen	anfordern
12	Wenn ein Nachweis-Item aus einem Sicherungsprojekt gelöscht wird, muss die OPENCOSS-Plattform alle Beweisinformationen (Arten und Merkmale), die sich auf das Nachweis-Item aus dem Projekt beziehen löschen.	Wenn ein Nachweis-Item aus einem Sicherungsprojekt gelöscht wird	muss	die OPENCOSS-Plattform		alle Beweisinformationen (Arten und Merkmale), die sich auf das Nachweis-Item aus dem Projekt beziehen	löschen
13	Wenn ein Nachweis-Item aus einem Sicherungsprojekt gelöscht wird und sein zugehöriges Artefakt nicht mit anderen Nachweis-Itemsn verbunden ist, muss die OPENCOSS-Plattform das Artefakt aus dem Projekt löschen.	Wenn ein Nachweis-Item aus einem Sicherungsprojekt gelösch	wird	sein zugehöriges Artefakt		nicht mit anderen Nachweis-Itemsn verbunden ist, muss die OPENCOSS-Plattform das Artefakt aus dem Projekt	löschen
14	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Informationen der Nachweis-Items eines Sicherungsprojekts zu ändern.		muss	Die OPENCOSS-Plattform	Nutzer	die Informationen der Nachweis-Items eines Sicherungsprojekts	ändern
15	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items in ein Sicherungsprojekt zu kopieren, die zuvor in einem anderen Sicherungsprojekt gespeichert wurden.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items in ein Sicherungsprojekt zu kopieren, die zuvor in einem anderen Sicherungsprojekt gespeichert	wurden
16	Die OPENCOSS-Plattform muss die Zeit und das Datum der Aktionen, die an den Nachweis-Items eines Sicherungsprojekts durchgeführt wurden, speichern.		muss	Die OPENCOSS-Plattform		die Zeit und das Datum der Aktionen, die an den Nachweis-Items eines Sicherungsprojekts durchgeführt wurden	speichern
17	Die OPENCOSS-Plattform muss das Nachweis-Repository eines Sicherungsprojekts aus dessen Nachweis-Charakterisierungsmodell erstellen.		muss	Die OPENCOSS-Plattform		das Nachweis-Repository eines Sicherungsprojekts aus dessen Nachweis-Charakterisierungsmodell	erstellen
18	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Merkmalsspezifikationen des Nachweis-Items eines Sicherungsprojekts als vollständig auszuzeichnen.		muss	Die OPENCOSS-Plattform	Nutzer	Merkmalsspezifikationen des Nachweis-Items eines Sicherungsprojekts als vollständig	auszuzeichnen
19	Wenn die Merkmalsspezifikatoin für ein Nachweis-Item eines Sicherungsprojekts als vollständig angesehen wird, muss die OPENCOSS-Plattform das Nachweis-Item grün einfärben.	Wenn die Merkmalsspezifikatoin für ein Nachweis-Item eines Sicherungsprojekts als vollständig angesehen wird	muss	die OPENCOSS-Plattform		das Nachweis-Item grün	einfärben
20	Wenn die Merkmalsspezifikation für ein Nachweis-Item eines Sicherungsprojekts nicht als vollständig angesehen wird, muss die OPENCOSS-Plattform das Nachweis-Item gelb einfärben.	Wenn die Merkmalsspezifikation für ein Nachweis-Item eines Sicherungsprojekts nicht als vollständig angesehen wird	muss	die OPENCOSS-Plattform		das Nachweis-Item gelb	einfärben
21	Die OPENCOSS-Plattform muss die Menge der Nachweis-Items eines Sicherungsprojekts mittels einer Baumansicht anzeigen.		muss	Die OPENCOSS-Plattform		die Menge der Nachweis-Items eines Sicherungsprojekts mittels einer Baumansicht	anzeigen
22	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts Zwischenknoten in der Baumansicht zu definieren.		muss	Die OPENCOSS-Plattform	Nutzer	für die Anzeige der Nachweis-Items eines Sicherungsprojekts Zwischenknoten in der Baumansicht	definieren
23	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts Zwischenknoten in der Baumansicht zu modifizieren.		muss	Die OPENCOSS-Plattform	Nutzer	für die Anzeige der Nachweis-Items eines Sicherungsprojekts Zwischenknoten in der Baumansicht	modifizieren
24	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts Zwischenknoten in der Baumansicht zu löschen.		muss	Die OPENCOSS-Plattform	Nutzer	für die Anzeige der Nachweis-Items eines Sicherungsprojekts Zwischenknoten in der Baumansicht	löschen
25	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts in der Baumansicht Zwischenknoten mit Nachweis-Items zu verknüpfen.		muss	Die OPENCOSS-Plattform	Nutzer	für die Anzeige der Nachweis-Items eines Sicherungsprojekts in der Baumansicht Zwischenknoten mit Nachweis-Items	verknüpfen
26	Wenn für ein Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt wurde, muss die OPENCOSS-Plattform Zwischenknoten für die Baumansicht zur Anzeige der Nachweis-Items eines Projekts gemäß dem Nachweis-Charakterisierungsmodell vorschlagen.	Wenn für ein Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt wurde	muss	die OPENCOSS-Plattform		Zwischenknoten für die Baumansicht zur Anzeige der Nachweis-Items eines Projekts gemäß dem Nachweis-Charakterisierungsmodell	vorschlagen
27	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweis-Items eines Sicherungsprojekts in die Baumstruktur, zur Anzeige der Nachweis-Items eines Projekts, aufzunehmen.		muss	Die OPENCOSS-Plattform	Nutzer	die Nachweis-Items eines Sicherungsprojekts in die Baumstruktur, zur Anzeige der Nachweis-Items eines Projekts	aufzunehmen
28	Wenn ein Nachweis-Charakterisierungsmodell für ein Sicherungsprojekts ausgewählt wurde, die Nachweis-Items des Projekts mit Nachweisarten verknüpft sind und die Nachweisarten für die Definition von Zwischenknoten der Baumansicht, zur Anzeige der Nachweis-Items des Projekts, verwendet wurden, muss die OPENCOSS-Plattform die Nachweis-Items des Projekts automatisch in die Knoten der Baumansicht ihrer verknüpften Nachweisarten aufnehmen.	Wenn ein Nachweis-Charakterisierungsmodell für ein Sicherungsprojekts ausgewählt wurde, die Nachweis-Items des Projekts mit Nachweisarten verknüpft sind und die Nachweisarten für die Definition von Zwischenknoten der Baumansicht, zur Anzeige der Nachweis-Items des Projekts, verwendet wurden	muss	die OPENCOSS-Plattform		die Nachweis-Items des Projekts automatisch in die Knoten der Baumansicht ihrer verknüpften Nachweisarten	aufnehmen
29	Die OPENCOSS-Plattform muss fähig sein, Berichte über den Nachweisbeleg eines Sicherungsprojekts in Form von HTML-Dateien zu generieren.		muss	Die OPENCOSS-Plattform		Berichte über den Nachweisbeleg eines Sicherungsprojekts in Form von HTML-Dateien	generieren
30	Die OPENCOSS-Plattform muss fähig sein, Berichte über den Nachweisbeleg eines Sicherungsprojekts anhand von Dokumenten in den Formaten PDF, RTF und MS Word zu erstellen.		muss	Die OPENCOSS-Plattform		Berichte über den Nachweisbeleg eines Sicherungsprojekts anhand von Dokumenten in den Formaten PDF, RTF und MS Word	erstellen
31	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Informationen, die in den Berichten über die Nachweisbelege eines Sicherungsprojekts enthalten sein sollen, anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	Informationen, die in den Berichten über die Nachweisbelege eines Sicherungsprojekts enthalten sein sollen	anzugeben
32	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks zwischen den Nachweis-Items eines Sicherungsprojekts zu spezifizieren.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisrückverfolgbarkeitslinks zwischen den Nachweis-Items eines Sicherungsprojekts	spezifizieren
33	Die OPENCOSS-Plattform muss die Informationen der Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts gemäß der CCL speichern.		muss	Die OPENCOSS-Plattform		die Informationen der Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts gemäß der CCL	speichern
34	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für ein Sicherungsprojekt Link-Typen für die Nachweisrückverfolgbarkeitslinks zu definieren.		muss	Die OPENCOSS-Plattform	Nutzer	für ein Sicherungsprojekt Link-Typen für die Nachweisrückverfolgbarkeitslinks	definieren
35	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die in einem anderen Projekt definierten Link-Typen der Nachweisrückverfolgbarkeitslinks in einem Sicherungsprojekt wiederzuverwenden.		muss	Die OPENCOSS-Plattform	Nutzer	die in einem anderen Projekt definierten Link-Typen der Nachweisrückverfolgbarkeitslinks in einem Sicherungsprojekt	wiederzuverwenden
36	Die OPENCOSS-Plattform muss die Nachweis-Items eines Sicherungsprojekts, die die Quelle eines Nachweisrückverfolgbarkeitslinks sind, für die wiederum ein bestimmtes Nachweis-Item das Ziel ist, anzeigen.		muss	Die OPENCOSS-Plattform		die Nachweis-Items eines Sicherungsprojekts, die die Quelle eines Nachweisrückverfolgbarkeitslinks sind, für die wiederum ein bestimmtes Nachweis-Item das Ziel ist	anzeigen
37	Die OPENCOSS-Plattform muss die Nachweis-Items eines Sicherungsprojekts, die das Ziel von Nachweisrückverfolgbarkeitslinks sind, für die wiederum ein bestimmtes Nachweis-Item die Quelle ist, anzeigen.		muss	Die OPENCOSS-Plattform		die Nachweis-Items eines Sicherungsprojekts, die das Ziel von Nachweisrückverfolgbarkeitslinks sind, für die wiederum ein bestimmtes Nachweis-Item die Quelle ist	anzeigen
38	Wenn für ein Sicherungsprojekts ein Nachweis-Charakterisieungsmodell ausgewählt wurde und für ein Nachweis-Item des Projekts ein Nachweisrückverfolgbarkeitslink angegeben wurde, muss die OPENCOSS-Plattform die Information, ob der Nachweisrückverfolgbarkeitslink gemäß dem Modell korrekt ist, anzeigen.	Wenn für ein Sicherungsprojekts ein Nachweis-Charakterisieungsmodell ausgewählt wurde und für ein Nachweis-Item des Projekts ein Nachweisrückverfolgbarkeitslink angegeben wurde	muss	die OPENCOSS-Plattform		die Information, ob der Nachweisrückverfolgbarkeitslink gemäß dem Modell korrekt ist	anzeigen
39	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts gemäß dem für das Projekt gewählten Nachweis-Charakterisierungsmodell nicht korrekt ist, muss die OPENCOSS-Plattform einen solchen Link rot einfärben.	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts gemäß dem für das Projekt gewählten Nachweis-Charakterisierungsmodell nicht korrekt ist	muss	die OPENCOSS-Plattform		einen solchen Link rot	einfärben
40	Wenn für ein Sicherungsprojekt ein Nachweis-Charakterisierungmodell zur Spezifikation von Nachweisrückverfolgbarkeitslinks für ein Nachweis-Item des Projekts ausgewählt wurde, muss die OPENCOSS-Plattform mögliche Nachweis-Items, mit denen gemäß dem Modell Nachweisrückverfolgbarkeitslinks spezifiziert werden könnten, anzeigen.	Wenn für ein Sicherungsprojekt ein Nachweis-Charakterisierungmodell zur Spezifikation von Nachweisrückverfolgbarkeitslinks für ein Nachweis-Item des Projekts ausgewählt wurde	muss	die OPENCOSS-Plattform		mögliche Nachweis-Items, mit denen gemäß dem Modell Nachweisrückverfolgbarkeitslinks spezifiziert werden könnten	anzeigen
41	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts zu löschen.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts	löschen
42	Wenn ein Nutzer einen Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts löschen möchte, muss die OPENCOSS-Plattform eine Bestätigung der Aktion durch den Benutzer verlangen.	Wenn ein Nutzer einen Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts löschen möchte	muss	die OPENCOSS-Plattform		eine Bestätigung der Aktion durch den Benutzer	verlangen
43	Wenn ein Nachweis-Item eines Sicherungsprojekts die Quelle oder das Ziel eines Nachweisrückverfolgbarkeitslinks ist und das Nachweis-Item aus dem Projekt gelöscht wird, muss die OPENCOSS-Plattform auch den Nachweisrückverfolgbarkeitslink aus dem Projekt entfernen.	Wenn ein Nachweis-Item eines Sicherungsprojekts die Quelle oder das Ziel eines Nachweisrückverfolgbarkeitslinks ist und das Nachweis-Item aus dem Projekt gelöscht wird	muss	die OPENCOSS-Plattform		auch den Nachweisrückverfolgbarkeitslink aus dem Projekt	entfernen
44	Wenn ein Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt ausgewählt wurde, muss die OPENCOSS-Plattform die erforderlichen fehlenden Links entsprechend dem Modell anzeigen.	Wenn ein Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt ausgewählt wurde	muss	die OPENCOSS-Plattform		die erforderlichen fehlenden Links entsprechend dem Modell	anzeigen
45	Die OPENCOSS-Plattform muss fähig sein Nachweisrückverfolgbarkeitslinks zwischen den Nachweis-Items eines Sicherungsprojekts mit Hilfe von Rückverfolgbarkeitsmatrizen aufzuzeigen.		muss	Die OPENCOSS-Plattform		Nachweisrückverfolgbarkeitslinks zwischen den Nachweis-Items eines Sicherungsprojekts mit Hilfe von Rückverfolgbarkeitsmatrizen	aufzuzeigen
46	Bei der Verwendung von Matrizen zur Darstellung der Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts muss die OPENCOSS-Plattform dem Nutzer die Möglichkeit bieten, Quell- und Zielnachweisarten aus anderen Verlinkungs-Matrizen auszuwählen.	Bei der Verwendung von Matrizen zur Darstellung der Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekt	muss	die OPENCOSS-Plattform	Nutzer	Quell- und Zielnachweisarten aus anderen Verlinkungs-Matrizen	auszuwählen
47	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks in Rückverfolgbarkeitsmatrizen zu spezifizieren.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisrückverfolgbarkeitslinks in Rückverfolgbarkeitsmatrizen	spezifizieren
48	Die OPENCOSS-Plattform muss fähig sein, die Beweisketten, zu denen ein Nachweis-Item eines Sicherungsprojekts gehört, anhand von Modellen darzustellen.		muss	Die OPENCOSS-Plattform		die Beweisketten, zu denen ein Nachweis-Item eines Sicherungsprojekts gehört, anhand von Modellen	darzustellen
49	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Tabellen zur Darstellung der Nachweis-Item-Rückverfolgbarkeit eines Sicherungsprojekts zu definieren.		muss	Die OPENCOSS-Plattform	Nutzer	Tabellen zur Darstellung der Nachweis-Item-Rückverfolgbarkeit eines Sicherungsprojekts	definieren
50	Bei der Darstellung der Nachweis-Item-Rückverfolgbarkeit mittels Tabellen muss die OPENCOSS-Plattform, die Angabe der Nachweisarten, die in die Tabelle aufgenommen werden sollen, verlangen.	Bei der Darstellung der Nachweis-Item-Rückverfolgbarkeit mittels Tabelle	muss	die OPENCOSS-Plattform		die Angabe der Nachweisarten, die in die Tabelle aufgenommen werden sollen	verlangen
51	Die OPENCOSS-Plattform wird für jede Nachweisart, die vom Nutzer in eine Tabelle zur Visualisierung der Rückverfolgbarkeit aufgenommen werden soll, eine Spalte innerhalb dieser Tabelle vorhalten.		wird	Die OPENCOSS-Plattform		für jede Nachweisart, die vom Nutzer in eine Tabelle zur Visualisierung der Rückverfolgbarkeit aufgenommen werden soll, eine Spalte innerhalb dieser Tabelle	vorhalten
52	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks in Rückverfolgbarkeitstabellen zu spezifizieren.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisrückverfolgbarkeitslinks in Rückverfolgbarkeitstabellen	spezifizieren
53	Bei der Verwendung von Tabellen zur Sicherung der Rückverfolgbarkeit von Nachweisen in einem Sicherungsprojekt muss die OPENCOSS-Plattform dem Nutzer die Möglichkeit bieten,  Nachweisarten aus einer anderen Tabelle auszuwählen.	Bei der Verwendung von Tabellen zur Sicherung der Rückverfolgbarkeit von Nachweisen in einem Sicherungsprojek	muss	die OPENCOSS-Plattform	Nutzer	 Nachweisarten aus einer anderen Tabelle	auszuwählen
54	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts nach den Bewertungskriterien aus der CCL zu bewerten.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items eines Sicherungsprojekts nach den Bewertungskriterien aus der CCL	bewerten
55	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Begründung für die Bewertung eines Nachweis-Items eines Sicherungsprojekts zu spezifizieren.		muss	Die OPENCOSS-Plattform	Nutzer	die Begründung für die Bewertung eines Nachweis-Items eines Sicherungsprojekts	spezifizieren
56	Wenn ein Nachweis-Item eines Sicherungsprojekts mit anderen Nachweis-Items des Projekts über einen Nachweisrückverfolgbarkeitslink verbunden ist, muss die OPENCOSS-Plattform den Nutzer über die mögliche Abhängigkeit der Bewertung des Nachweis-Items von der Bewertung der anderen Nachweis-Items informieren.	Wenn ein Nachweis-Item eines Sicherungsprojekts mit anderen Nachweis-Items des Projekts über einen Nachweisrückverfolgbarkeitslink verbunden ist	muss	die OPENCOSS-Plattform		den Nutzer über die mögliche Abhängigkeit der Bewertung des Nachweis-Items von der Bewertung der anderen Nachweis-Items	informieren
57	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Kriterien für die Bewertung der Nachweis-Items eines Sicherungsprojekts zu definieren.		muss	Die OPENCOSS-Plattform	Nutzer	Kriterien für die Bewertung der Nachweis-Items eines Sicherungsprojekts	definieren
58	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Kriterien für die Bewertung der Nachweis-Items eines Sicherungsprojekts zu ändern.		muss	Die OPENCOSS-Plattform	Nutzer	Kriterien für die Bewertung der Nachweis-Items eines Sicherungsprojekts	ändern
59	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Projekts nach den Bewertungskriterien von Nachweis-Items aus anderen Sicherungsprojekten zu bewerten.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items eines Projekts nach den Bewertungskriterien von Nachweis-Items aus anderen Sicherungsprojekten	bewerten
